,排名,类型,小说名称,更新章节,状态,字数万字,作者,更新时间
0,1,都市,回到九零，她在外科大佬圈火爆了,【1201】几个科室来齐,连载中,123,肥妈向善,2021/10/30 22:04
1,2,异能,都市极品医神,第7211章 不对劲！（求票！）,连载中,1462,风会笑,2021/10/30 22:27
2,3,东方,万道龙皇,第5516章 明皇的挑战,连载中,1129,牧童听竹,2021/10/30 18:19
3,4,时空,诸天最强大佬,第一千五百零四章 大结局,完本,553,七只跳蚤,2021/10/19 23:29
4,5,奇幻,武神至尊,第五千一百零八章 追杀法师,连载中,1128,我吃面包,2021/10/28 00:51
5,6,世家,夫人她马甲又轰动全城了,第2101章：念姐，正好我最近看三大家族的人不顺眼,连载中,216,灵小哥,2021/10/30 19:52
6,7,婚姻,和沈大佬订婚以后,327章 明教授怼人技能,连载中,66,北川云上锦,2021/10/30 00:06
7,8,异界,无尽丹田,新书《天道图书馆》已经200万字了，已肥可宰！,完本,636,横扫天涯,2017/01/24 14:57
8,9,异能,霍爷，夫人又去天桥摆摊了,第549章 三爷期待秦阮肚子里是女孩,连载中,96,伊人为花,2021/10/30 00:16
9,10,东方,绝代神主,第三千一百七十九章 集体火种！,连载中,705,百里龙虾,2021/10/30 03:36
10,11,穿越,邪王追妻,大结局，终,完本,1203,苏小暖,2020/09/23 20:17
11,12,东方,万古神帝,第三千四百五十章 若尘神尊,连载中,1156,飞天鱼,2021/10/31 00:38
12,13,幻言,神医弃女,第433章 全文完,完本,1416,MS芙子,2021/09/30 09:44
13,14,婚姻,我穿到六十年后又穿回来了,第0926章 入乡随俗,连载中,100,宁小白,2021/10/29 11:00
14,15,爽文,女总裁的顶级兵王,第二千五百零八章幸福的生活全书完,完本,799,天下,2017/11/12 02:11
15,16,异能,仙界科技,新书《你跑不过我吧》,完本,306,想枕头的瞌睡,2019/07/04 17:03
16,17,原创,无上神帝,第五千零七十六章 平州吴家,连载中,1345,蜗牛狂奔,2021/10/30 22:09
17,18,穿越,首辅娇娘,987 新婚之夜（信阳VS萧戟番）,连载中,336,偏方方,2021/10/31 02:26
18,19,幻言,医后倾天,第2818章 番外：结局（三）,完本,264,萧七爷,2018/10/08 00:31
19,20,宫廷,被休后我成了侯府真千金,第三百十三章 凶手不是嗣子,连载中,67,五月柚,2021/10/30 09:07
20,21,东方,武炼巅峰,后记加新书,连载中,1833,莫默,2021/09/25 11:04
21,22,未来,科技图书馆,完本感言,完本,279,孤胆蚂蚁,2021/02/20 10:27
22,23,宫廷,摄政王的小娇娇在皇宫当团宠,第二百九十五章 改变,连载中,62,抱抱糖糖,2021/10/30 00:46
23,24,异界,斗罗大陆,第三百三十六章 大结局，最后一个条件（全书完）,完本,297,唐家三少,2009/12/13 07:42
24,25,异能,最强医圣,完本感言,完本,841,左耳思念,2021/07/01 01:16
25,26,异界,斗罗大陆V重生唐三,第三百六十三章 畅想妖皇套房,连载中,85,唐家三少,2021/10/30 07:00
26,27,幻想,大奉打更人,番外三 庆功宴,完本,380,卖报小郎君,2021/08/29 23:02
27,28,东方,九幽天帝,第4157章 终极！【大结局】感谢大家一路相伴、支持！,完本,941,给力,2021/03/29 20:02
28,29,青春,女扮男装当校草,第1853章 步之雅很纯情,完本,166,微姑娘,2017/10/30 23:58
29,30,东方,伏天氏,第2881章 姬无道的自白,连载中,825,净无痕,2021/10/30 23:24
30,31,奇缘,兽宠天下，全能召唤师,第612章 番外尘尘,连载中,173,小野鸭,2015/01/13 06:46
31,32,世家,大神你人设崩了,636终。,完本,196,一路烦花,2021/04/11 00:06
32,33,架空,盛宠之嫡女医妃,官语白X萧囡囡001,完本,503,天泠,2019/05/24 15:31
33,34,穿越,贵妃每天只想当咸鱼,第1186章：永不会散（大结局）,完本,218,大果粒,2020/12/31 02:13
34,35,抗战,亮剑：我震惊了李云龙,第四百八十九章 你比我还嚣张,连载中,104,九黎山鬼,2021/10/30 23:54
35,36,异界,不科学御兽,第213章：来自尹正凡的约战,连载中,86,轻泉流响,2021/10/29 21:44
36,37,异能,终极小村医,第三千八十三章 陪我玩,连载中,633,箫声悠扬,2021/10/30 12:26
37,38,幻言,王妃她又给人算卦了,1967 报复,连载中,199,梓云溪,2021/10/30 23:50
38,39,异界,斗罗大陆III龙王传说,第一千九百八十一章 永冻冰封！（大结局附后记）,完本,495,唐家三少,2018/08/24 07:00
39,40,虚拟,重生之最强剑神,第65章 新世界（大结局）,完本,711,天运老猫,2021/04/15 19:32
40,41,奇幻,丹武至尊,第2958章 大结局！花开花落，又是一个纪元！,完本,614,顽石,2019/07/04 16:35
41,42,异界,斗破苍穹,《斗破苍穹：斗帝之路》手游·角色传记（下）,连载中,532,天蚕土豆,2018/09/19 10:04
42,43,幻言,魔帝狂妃：废柴要逆天,第1693章 番外之血儿和浔儿（四十二）,完本,188,萧七爷,2016/01/07 03:52
43,44,传统,凌天剑神,第三千九百七十一章 幻影天主,连载中,859,竹林之大贤,2021/10/30 22:59
44,45,现代,无敌小神医,第2275章 大结局,完本,474,司徒小二,2018/09/30 22:45
45,46,幻想,凡人修仙传,忘语新书《玄界之门》,完本,747,忘语,2016/01/05 17:02
46,47,异界,斗罗大陆II绝世唐门,第六百二十二章 大结局,完本,508,唐家三少,2016/03/27 10:38
47,48,传统,逍遥派,《江湖奇功录》已经恢复更新,完本,920,白马出淤泥,2020/09/02 00:18
48,49,其他,万族之劫,很快点完本,完本,833,老鹰吃小鸡,2021/02/02 20:26
49,50,东方,魂帝武神,第五千零二十七章:武神之子,连载中,1116,小小八,2021/10/29 23:25
50,51,宫廷,和离后，我被太子娇养了,第484章：这张脸应该属于她才是……,连载中,89,一千万,2021/10/30 11:36
51,52,生活,我每周随机一个新职业,第2309章：所谓的计划,连载中,482,无右,2021/10/31 00:05
52,53,传统,血狱江湖,关于新书《楚门狼》上传时间。,完本,475,天雨寒,2020/01/17 19:42
53,54,异界,神墓,结束语及重要消息公布（免费）,完本,300,辰东,2008/12/03 16:40
54,55,世家,重生后她成了宋先生的小祖宗,第1184章 不能再让他为我分心,连载中,136,腊笔小酱,2021/10/14 00:04
55,56,异界,斗罗大陆IV终极斗罗,后记,完本,432,唐家三少,2021/05/20 19:16
56,57,未来,超神科技交易商城,第七百四十二章 比邻星星系战役 八,连载中,162,如鹰展翅,2021/10/27 22:17
57,58,世家,席爷每天都想官宣,第250章 人间社畜木助理,连载中,171,公子安爷,2021/10/30 21:04
58,59,幻言,邪王宠王妃太张狂,第679章 我得准备住院动手术啦！,连载中,130,水之间,2018/10/31 07:27
59,60,穿越,带着仓库到大明,新书：北宋大丈夫，已经发布。,完本,598,迪巴拉爵士,2018/11/13 10:45
60,61,幻想,道君,新书《前任无双》正式发布,完本,500,跃千愁,2019/06/15 22:19
61,62,异界,不死神皇,新书已发，龙神霸帝，求支持！,完本,458,茶山杨梅,2017/12/14 16:25
62,63,异界,有请小师叔,新书《镜面管理局》，已上传起点中文网。,完本,164,横扫天涯,2021/10/01 18:44
63,64,架空,嫡长女她又美又飒,第一千三百五十章：公主府,连载中,273,千桦尽落,2021/10/31 00:08
64,65,幻想,星辰变,番茄新书《沧元图》已经二十多万字，可以看啦！,完本,280,我吃西红柿,2019/10/03 18:09
65,66,未来,吞噬星空,番茄新书《飞剑问道》第一章已经上传！,完本,477,我吃西红柿,2017/09/21 10:17
66,67,明星,暖婚甜入骨,第2252章：时光往复，爱你如初！（全文完）,完本,236,漫西,2020/07/11 15:37
67,68,世家,薄爷的小祖宗又轰动世界了,第1129章 反转的手段，超厉害,连载中,122,云女,2021/10/31 00:08
68,69,种田,农家小福女,第3289章 断亲一,连载中,694,郁雨竹,2021/10/31 01:36
69,70,争霸,星门,可怜，明天两更,连载中,237,老鹰吃小鸡,2021/10/30 00:09
70,71,原创,武道大帝,第4774章 至尊级混战,连载中,1188,忘情至尊,2021/09/01 10:14
71,72,异能,全球高武,说个事，关于实体书的事,完本,835,老鹰吃小鸡,2020/09/13 18:38
72,73,异界,诡秘之主,不是诈尸，不是遭了阿蒙,完本,446,爱潜水的乌贼,2020/07/13 18:11
73,74,谍战,最强终极兵王,3227：顶级嘲讽（大章）,连载中,736,夜星下,2021/10/30 20:18
74,75,异界,不灭龙帝,新书《我真不是大魔王》重磅发布！,完本,844,妖夜,2020/03/02 10:57
75,76,科幻空间,全位面都跪求反派女主做个人,第1073章 不当舔狗了（5）,连载中,113,杜了了,2021/10/31 01:33
76,77,东方,帝霸,第4553章焚天古树,连载中,1401,厌笔萧生,2021/10/31 09:59
77,78,异能,深空彼岸,第三百六十九章 陨石坑中栽天药,连载中,131,辰东,2021/10/30 01:26
78,79,世家,被大佬们团宠后我野翻了,第1446章 裴爷：这个得付费,连载中,148,苏闲佞,2021/10/31 07:18
79,80,异能,夜的命名术,447、回马枪,连载中,159,会说话的肘子,2021/10/30 22:35
80,81,穿越,我家王妃可太秀了,第3428章 小姑娘一定比红枣更甜更可口！（完）,完本,339,桃三枝,2018/03/26 16:36
81,82,科幻空间,星际美食宝典,番外：我稀罕你,完本,103,萦索,2018/04/30 22:18
82,83,东方,龙血武帝,第5485章：入侵目的,完本,1137,流水无痕,2020/06/17 18:34
83,84,生活,都市绝代战神,第六百六十三章 大结局,完本,134,战神,2021/05/31 21:39
84,85,异能,都市重生异能神医,第一千零八十八章 爱心永恒10（全文终）,完本,114,千萝绿,2016/01/08 09:30
85,86,时空,诸天之我是沙悟净,777 威震西凉,连载中,156,目自翕张,2021/10/31 00:54
86,87,爽文,穿越八年才出道,382.神仙打架！旧时代结束，新时代开始！（求订阅）,连载中,228,茗夜,2021/10/30 23:59
87,88,穿越,医妃惊世,第10187章 恭喜你们！,连载中,1091,顾染锦,2021/08/26 09:15
88,89,奇幻,绝世龙魂,第三千八百八十章 诸天万界完结章,完本,896,落叶无言,2020/04/17 20:11
89,90,异能,至尊医道,第2233章 终结,完本,463,蔡晋,2017/01/29 17:01
90,91,穿越,大唐验尸官,第1763章 心理防线,连载中,381,顾婉音,2021/10/30 22:19
91,92,世家,重回九零她靠科研暴富了,1385章 他确实都没对你出手过,连载中,243,关耳小旋,2021/10/30 09:37
92,93,异能,穿成八零异能女,第1579章这话我爱听,连载中,205,春光满园,2021/10/30 23:45
93,94,幻想,一念永恒,一念永恒动画先导预告片,完本,368,耳根,2020/05/04 10:43
94,95,种田,霸气农女不好惹,第1101章 番外23,完本,223,依依兰兮,2018/06/04 00:05
95,96,古典,大魏读书人,第二百零六章：科举之日，强国试题，大才显，闹事了？,连载中,156,七月未时,2021/10/30 13:05
96,97,修真,遮天,我的新书《圣墟》已上传,完本,635,辰东,2016/01/01 14:00
97,98,世家,霍先生你心动了,第1526章 大结局,完本,154,意沫沫,2020/02/14 23:12
98,99,架空,三国之兵临天下,第1131章 定鼎天下（全书完）,完本,363,高月,2014/01/24 08:00
99,100,架空,重生之侯门邪妃,第三章 盛唐蝶影,完本,295,青墨烟水,2019/03/23 10:06
